Number,Title_URL,Title,Author,minirating
1,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling," 4.62 avg rating — 2,883,079 ratings"
2,https://www.goodreads.com/book/show/2767052-the-hunger-games,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.33 avg rating — 6,531,961 ratings"
3,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling," 4.57 avg rating — 2,506,015 ratings"
4,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling," 4.56 avg rating — 2,671,368 ratings"
5,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 2,580,928 ratings"
6,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak," 4.37 avg rating — 1,887,365 ratings"
7,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger," 3.98 avg rating — 1,599,151 ratings"
8,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini," 4.31 avg rating — 2,482,594 ratings"
9,https://www.goodreads.com/book/show/4667024-the-help,The Help,Kathryn Stockett," 4.46 avg rating — 2,217,788 ratings"
10,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini," 4.38 avg rating — 1,179,312 ratings"
11,https://www.goodreads.com/book/show/6148028-catching-fire,"Catching Fire (The Hunger Games, #2)",Suzanne Collins," 4.29 avg rating — 2,586,558 ratings"
12,https://www.goodreads.com/book/show/41865.Twilight,"Twilight (Twilight, #1)",Stephenie Meyer," 3.60 avg rating — 5,086,865 ratings"
13,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants,Sara Gruen," 4.09 avg rating — 1,404,503 ratings"
14,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson," 4.14 avg rating — 2,666,319 ratings"
15,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi,Yann Martel," 3.92 avg rating — 1,366,249 ratings"
